sale_date,store_id,product_id,units_sold,unit_price,discount_pct,revenue
2023-01-01,1,1,143,0.99,0,141.57
2023-01-01,1,2,91,1.49,0,135.59
2023-01-01,1,3,62,3.2,0,198.4
2023-01-01,1,4,128,1.1,0,140.8
2023-01-01,1,5,58,2.1,0,121.8
2023-01-01,1,6,83,0.8,0,66.4
2023-01-01,1,7,66,1.8,0,118.8
2023-01-01,1,8,60,1.2,0,72.0
2023-01-01,1,9,64,1.5,0,96.0
2023-01-01,1,10,69,1.9,0,131.1
2023-01-01,1,11,49,0.9,0,44.1
2023-01-01,1,12,36,2.3,0,82.8
2023-01-01,1,13,82,3.5,0,287.0
2023-01-01,1,14,50,4.2,0,210.0
2023-01-01,1,15,32,4.8,0,153.6
2023-01-01,1,16,87,0.5,0,43.5
2023-01-01,1,17,65,1.6,0,104.0
2023-01-01,1,18,56,1.8,0,100.8
2023-01-01,1,19,35,4.5,0,157.5
2023-01-01,1,20,70,1.3,0,91.0
2023-01-01,1,21,45,4.9,0,220.5
2023-01-01,1,22,48,1.2,0,57.6
2023-01-01,1,23,57,0.9,0,51.3
2023-01-01,1,24,25,6.5,0,162.5
2023-01-01,1,25,40,3.8,0,152.0
2023-01-01,2,1,138,0.99,0,136.62
2023-01-01,2,2,85,1.49,0,126.65
2023-01-01,2,3,64,3.2,0,204.8
2023-01-01,2,4,109,1.1,0,119.9
2023-01-01,2,5,61,2.1,0,128.1
2023-01-01,2,6,85,0.8,0,68.0
2023-01-01,2,7,73,1.8,0,131.4
2023-01-01,2,8,50,1.2,0,60.0
2023-01-01,2,9,67,1.5,0,100.5
2023-01-01,2,10,59,1.9,0,112.1
2023-01-01,2,11,42,0.9,0,37.8
2023-01-01,2,12,37,2.3,0,85.1
2023-01-01,2,13,65,3.5,0,227.5
2023-01-01,2,14,59,4.2,0,247.8
2023-01-01,2,15,46,4.8,0,220.8
2023-01-01,2,16,110,0.5,0,55.0
2023-01-01,2,17,69,1.6,0,110.4
2023-01-01,2,18,55,1.8,0,99.0
2023-01-01,2,19,42,4.5,0,189.0
2023-01-01,2,20,69,1.3,0,89.7
2023-01-01,2,21,31,4.9,0,151.9
2023-01-01,2,22,44,1.2,0,52.8
2023-01-01,2,23,66,0.9,0,59.4
2023-01-01,2,24,32,6.5,0,208.0
2023-01-01,2,25,33,3.8,0,125.4
2023-01-01,3,1,142,0.99,0,140.58
2023-01-01,3,2,97,1.49,0,144.53
2023-01-01,3,3,53,3.2,0,169.6
2023-01-01,3,4,109,1.1,0,119.9
2023-01-01,3,5,65,2.1,0,136.5
2023-01-01,3,6,85,0.8,0,68.0
2023-01-01,3,7,50,1.8,0,90.0
2023-01-01,3,8,50,1.2,0,60.0
2023-01-01,3,9,85,1.5,0,127.5
2023-01-01,3,10,61,1.9,0,115.9
2023-01-01,3,11,48,0.9,0,43.2
2023-01-01,3,12,37,2.3,0,85.1
2023-01-01,3,13,62,3.5,0,217.0
2023-01-01,3,14,55,4.2,0,231.0
2023-01-01,3,15,45,4.8,0,216.0
2023-01-01,3,16,113,0.5,0,56.5
2023-01-01,3,17,73,1.6,0,116.8
2023-01-01,3,18,57,1.8,0,102.6
2023-01-01,3,19,45,4.5,0,202.5
2023-01-01,3,20,77,1.3,0,100.1
2023-01-01,3,21,35,4.9,0,171.5
2023-01-01,3,22,60,1.2,0,72.0
2023-01-01,3,23,54,0.9,0,48.6
2023-01-01,3,24,40,6.5,0,260.0
2023-01-01,3,25,30,3.8,0,114.0
2023-01-01,4,1,129,0.99,0,127.71
2023-01-01,4,2,93,1.49,0,138.57
2023-01-01,4,3,58,3.2,0,185.6
2023-01-01,4,4,108,1.1,0,118.8
2023-01-01,4,5,49,2.1,0,102.9
2023-01-01,4,6,85,0.8,0,68.0
2023-01-01,4,7,67,1.8,0,120.6
2023-01-01,4,8,63,1.2,0,75.6
2023-01-01,4,9,78,1.5,0,117.0
2023-01-01,4,10,58,1.9,0,110.2
2023-01-01,4,11,50,0.9,0,45.0
2023-01-01,4,12,43,2.3,0,98.9
2023-01-01,4,13,79,3.5,0,276.5
2023-01-01,4,14,62,4.2,0,260.4
